Temp	FM	Psi	Date
15.37309375	34.5111666666667	-1.09444388187495	2011-03-15
14.3015	32.0740520833333	-1.18974016212663	2011-03-16
13.3628645833333	30.6751770833333	-1.25178637194072	2011-03-17
12.28875	29.3364583333333	-1.31711207416278	2011-03-18
10.9906041666667	27.8662708333333	-1.39661787251308	2011-03-19
10.3455104166667	27.8147083333333	-1.39956974929449	2011-03-20
8.413	66.5990625	-0.517265885196393	2011-03-21
9.08878125	69.0777395833333	-0.496160326126145	2011-03-22
8.4511875	67.7126666666667	-0.507579159932579	2011-03-23
8.02608333333333	69.5477708333333	-0.492339436461777	2011-03-24
10.2946458333333	69.6355416666667	-0.491632060323606	2011-03-25
9.26752083333333	69.8196145833333	-0.490154731136952	2011-03-26
10.7487916666667	69.7297395833333	-0.490875005700017	2011-03-27
